id,car_id,user_id,rental_date,status,return_date
1,20,5,2026-08-15,returned,2026-08-20
2,13,28,2026-08-15,returned,2026-08-21
3,7,42,2026-08-14,ongoing,
4,10,3,2026-08-11,ongoing,
5,1,40,2026-08-16,returned,2026-08-17
6,22,37,2026-08-19,ongoing,
7,23,29,2026-08-21,ongoing,
8,84,126,2025-12-26,returned,2026-05-19
9,93,74,2025-08-29,ongoing,
10,47,148,2026-05-18,returned,2026-05-29
11,106,102,2026-01-19,returned,2026-05-17
12,35,172,2026-04-27,returned,2026-05-24
13,90,91,2025-10-24,returned,2026-03-17
14,53,52,2025-09-14,returned,2026-03-27
15,64,101,2026-03-06,returned,2026-05-24
16,88,130,2025-09-08,returned,2025-12-25
17,121,219,2026-06-09,returned,2026-08-05
18,67,119,2026-08-05,returned,2026-08-22
19,70,242,2026-07-26,returned,2026-08-21
20,30,140,2026-05-19,returned,2026-06-21
21,61,226,2026-01-25,returned,2026-06-19
22,16,29,2026-07-24,returned,2026-07-30
23,90,242,2026-07-06,returned,2026-07-19
24,79,172,2025-11-06,returned,2026-07-02
25,67,224,2026-07-15,returned,2026-08-06
26,3,208,2026-03-25,returned,2026-04-01
27,73,169,2026-06-13,returned,2026-07-11
28,113,101,2025-12-19,returned,2026-06-19
29,62,239,2026-02-19,returned,2026-05-12
30,119,213,2026-04-24,returned,2026-05-09
31,86,209,2025-12-28,returned,2026-08-14
32,16,55,2026-05-25,returned,2026-06-15
33,20,135,2025-12-06,returned,2026-04-05
34,22,102,2026-01-28,returned,2026-02-22
35,40,92,2025-11-30,returned,2025-12-03
36,58,122,2026-08-07,returned,2026-08-19
37,1,135,2025-12-23,returned,2026-03-02
38,113,172,2026-08-04,returned,2026-08-04
39,32,3,2025-12-31,returned,2026-03-15
40,1,99,2025-09-04,returned,2026-03-01
41,82,218,2026-03-01,returned,2026-07-26
42,66,92,2026-07-23,returned,2026-07-31
43,25,119,2026-06-21,returned,2026-07-22
44,1,53,2026-07-23,returned,2026-08-01
45,42,106,2025-11-08,returned,2026-06-17
46,43,191,2026-05-03,returned,2026-06-05
47,99,122,2026-01-23,returned,2026-08-20
48,87,63,2026-03-03,returned,2026-07-08
49,117,233,2026-08-08,returned,2026-08-23
50,112,92,2026-02-28,returned,2026-05-28
51,51,118,2026-03-26,returned,2026-07-07
52,40,239,2026-03-06,returned,2026-05-01
53,62,3,2026-07-21,returned,2026-08-05
54,58,43,2026-01-22,returned,2026-07-22
55,58,215,2025-12-03,returned,2026-06-20
56,31,169,2026-04-12,returned,2026-06-03
57,74,237,2025-09-17,returned,2026-02-12
58,26,47,2026-02-16,returned,2026-03-15
59,54,191,2026-07-28,returned,2026-08-05
60,68,153,2026-07-22,returned,2026-08-11
61,7,99,2026-01-07,returned,2026-02-15
62,95,154,2025-10-24,returned,2026-02-25
63,31,196,2026-03-25,returned,2026-06-12
64,110,239,2026-01-10,returned,2026-05-10
65,99,28,2026-08-13,returned,2026-08-13
66,108,29,2026-02-15,returned,2026-05-11
67,18,135,2025-09-21,returned,2025-12-20
68,101,143,2025-12-22,returned,2026-05-12
69,115,48,2025-09-05,returned,2026-06-23
70,84,187,2026-04-19,returned,2026-05-27
71,29,234,2026-04-02,returned,2026-06-03
72,102,47,2026-07-13,returned,2026-08-02
73,67,207,2025-11-26,returned,2026-04-01
74,40,164,2025-11-16,returned,2025-12-27
75,112,64,2026-07-15,returned,2026-08-22
76,46,99,2026-08-13,returned,2026-08-18
77,112,130,2026-04-19,returned,2026-07-06
78,13,211,2025-11-22,returned,2026-08-05
79,62,37,2026-02-27,returned,2026-04-05
80,90,110,2026-02-22,returned,2026-05-02
81,19,166,2025-08-31,returned,2026-08-03
82,9,102,2026-05-31,returned,2026-06-05
83,29,210,2026-03-05,returned,2026-03-11
84,55,122,2026-05-14,returned,2026-07-19
85,116,243,2026-02-05,returned,2026-05-11
86,70,232,2026-07-18,returned,2026-08-07
87,80,210,2026-08-11,returned,2026-08-12
88,22,218,2026-08-25,returned,2026-08-25
89,53,219,2026-04-08,returned,2026-05-09
90,27,213,2026-01-10,returned,2026-03-13
91,116,29,2026-02-22,returned,2026-05-17
92,35,130,2026-05-06,returned,2026-07-20
93,38,153,2025-12-19,returned,2026-02-28
94,75,204,2026-01-22,returned,2026-04-15
95,37,80,2026-03-26,returned,2026-03-27
96,122,169,2025-10-14,returned,2026-06-09
97,62,243,2026-04-15,returned,2026-04-29
98,99,217,2026-07-13,returned,2026-07-26
99,49,217,2026-05-26,returned,2026-07-21
100,23,60,2025-08-26,returned,2026-02-19
101,74,60,2025-12-04,returned,2026-04-03
102,107,228,2025-09-24,returned,2026-04-21
103,93,233,2026-08-14,returned,2026-08-25
104,33,154,2026-04-03,returned,2026-07-28
105,43,172,2025-11-25,returned,2026-02-12
106,22,224,2025-10-09,returned,2026-06-19
